language,repo,split,speech_type,parquet_file,status,rows
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_024.parquet,completed,1753
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_025.parquet,completed,2279
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_026.parquet,completed,1698
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_027.parquet,completed,2146
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_028.parquet,completed,2246
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_029.parquet,completed,1613
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_030.parquet,completed,1595
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_031.parquet,completed,1993
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_032.parquet,completed,1918
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_033.parquet,completed,1748
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_034.parquet,completed,1994
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_035.parquet,completed,1811
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_036.parquet,completed,2060
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_037.parquet,completed,1748
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_038.parquet,completed,1893
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_039.parquet,completed,1679
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_040.parquet,completed,2206
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_041.parquet,completed,2080
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_042.parquet,completed,1984
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_043.parquet,completed,1638
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_044.parquet,completed,1758
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_045.parquet,completed,2767
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_046.parquet,completed,2095
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_047.parquet,completed,2286
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_048.parquet,completed,1833
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_049.parquet,completed,1338
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_050.parquet,completed,2140
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_051.parquet,completed,2029
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_052.parquet,completed,2383
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_053.parquet,completed,1538
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_054.parquet,completed,2138
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_055.parquet,completed,1764
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_056.parquet,completed,1953
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_057.parquet,completed,1908
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_058.parquet,completed,1718
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_059.parquet,completed,1426
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_060.parquet,completed,1181
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_061.parquet,completed,1293
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_062.parquet,completed,372
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_000.parquet,completed,2030
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_001.parquet,completed,1773
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_002.parquet,completed,1609
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_003.parquet,completed,1829
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_004.parquet,completed,1689
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_005.parquet,completed,1638
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_006.parquet,completed,1329
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_007.parquet,completed,1143
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_008.parquet,completed,1169
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_009.parquet,completed,1428
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_010.parquet,completed,1692
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_011.parquet,completed,1612
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_012.parquet,completed,1228
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_013.parquet,completed,1393
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_014.parquet,completed,1179
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_015.parquet,completed,1338
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_016.parquet,completed,2116
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_017.parquet,completed,1110
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_018.parquet,completed,1758
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_019.parquet,completed,1480
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_020.parquet,completed,1413
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_021.parquet,completed,1696
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_022.parquet,completed,1299
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_023.parquet,completed,1066
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_024.parquet,completed,1777
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_025.parquet,completed,1445
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_026.parquet,completed,1203
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_027.parquet,completed,1702
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_028.parquet,completed,1488
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_029.parquet,completed,1425
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_030.parquet,completed,1364
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_031.parquet,completed,1213
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_032.parquet,completed,1372
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_033.parquet,completed,1598
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_034.parquet,completed,1423
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_035.parquet,completed,1673
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_036.parquet,completed,1968
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_037.parquet,completed,1733
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_038.parquet,completed,1196
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_039.parquet,completed,1141
kln,Anv-ke/Kalenjin,train,scripted,Anv-ke/Kalenjin::train/scripted/audios/train_scripted_040.parquet,completed,42
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_000.parquet,completed,1330
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_001.parquet,completed,1599
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_002.parquet,completed,1327
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_003.parquet,completed,1330
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_004.parquet,completed,1639
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_005.parquet,completed,1894
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_006.parquet,completed,1995
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_007.parquet,completed,1588
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_008.parquet,completed,1648
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_009.parquet,completed,1501
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_010.parquet,completed,1583
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_011.parquet,completed,1496
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_012.parquet,completed,1365
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_013.parquet,completed,1055
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_014.parquet,completed,1064
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_015.parquet,completed,1213
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_016.parquet,completed,1009
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_017.parquet,completed,1241
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_018.parquet,completed,1153
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_019.parquet,completed,981
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_020.parquet,completed,803
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_021.parquet,completed,1107
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_022.parquet,completed,938
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_023.parquet,completed,752
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_024.parquet,completed,773
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_025.parquet,completed,1045
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_026.parquet,completed,749
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_027.parquet,completed,934
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_028.parquet,completed,1321
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_029.parquet,completed,1479
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_030.parquet,completed,1429
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_031.parquet,completed,1444
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_032.parquet,completed,1309
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_033.parquet,completed,897
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_034.parquet,completed,1430
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_035.parquet,completed,1283
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_036.parquet,completed,1244
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_037.parquet,completed,1330
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_038.parquet,completed,1681
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_039.parquet,completed,1171
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_040.parquet,completed,1253
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_041.parquet,completed,1176
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_042.parquet,completed,1061
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_043.parquet,completed,1586
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_044.parquet,completed,1312
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_045.parquet,completed,1297
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_046.parquet,completed,1513
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_047.parquet,completed,1554
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_048.parquet,completed,1582
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_049.parquet,completed,1474
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_050.parquet,completed,1527
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_051.parquet,completed,1404
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_052.parquet,completed,1415
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_053.parquet,completed,1624
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_054.parquet,completed,1418
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_055.parquet,completed,1374
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_056.parquet,completed,1525
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_057.parquet,completed,1735
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_058.parquet,completed,1501
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_059.parquet,completed,1293
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_060.parquet,completed,1535
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_061.parquet,completed,1348
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_062.parquet,completed,1587
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_063.parquet,completed,1065
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_064.parquet,completed,912
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_065.parquet,completed,1127
luo,Anv-ke/Dholuo,train,scripted,Anv-ke/Dholuo::train/scripted/audios/train_scripted_066.parquet,completed,169
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_000.parquet,completed,1635
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_001.parquet,completed,1693
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_002.parquet,completed,1311
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_003.parquet,completed,1373
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_004.parquet,completed,1401
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_005.parquet,completed,1169
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_006.parquet,completed,1381
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_007.parquet,completed,1229
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_008.parquet,completed,1396
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_009.parquet,completed,1554
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_010.parquet,completed,1654
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_011.parquet,completed,1854
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_012.parquet,completed,1284
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_013.parquet,completed,1088
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_014.parquet,completed,1198
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_015.parquet,completed,1929
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_016.parquet,completed,1293
mas,Anv-ke/Maasai,train,scripted,Anv-ke/Maasai::train/scripted/audios/train_scripted_017.parquet,completed,1369
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_000.parquet,completed,1366
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_001.parquet,completed,1780
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_002.parquet,completed,1408
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_003.parquet,completed,1703
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_004.parquet,completed,1892
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_005.parquet,completed,1600
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_006.parquet,completed,1526
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_007.parquet,completed,1342
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_008.parquet,completed,1473
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_009.parquet,completed,1656
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_010.parquet,completed,1688
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_011.parquet,completed,1492
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_012.parquet,completed,1594
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_013.parquet,completed,1441
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_014.parquet,completed,1463
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_015.parquet,completed,1728
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_016.parquet,completed,1709
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_017.parquet,completed,1860
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_018.parquet,completed,1626
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_019.parquet,completed,1857
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_020.parquet,completed,1324
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_021.parquet,completed,1295
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_022.parquet,completed,2049
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_023.parquet,completed,1364
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_024.parquet,completed,1107
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_025.parquet,completed,1409
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_026.parquet,completed,1547
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_027.parquet,completed,1474
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_028.parquet,completed,1274
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_029.parquet,completed,1713
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_030.parquet,completed,1876
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_031.parquet,completed,1507
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_032.parquet,completed,1408
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_033.parquet,completed,2000
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_034.parquet,completed,1732
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_035.parquet,completed,1346
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_036.parquet,completed,1077
som,Anv-ke/Somali,train,scripted,Anv-ke/Somali::train/scripted/audios/train_scripted_037.parquet,completed,1442
